Date,Name,Year,Letterboxd URI,Rating
2025-01-07,Civil War,2024,https://boxd.it/z1jW,3
2025-01-07,Inception,2010,https://boxd.it/1skk,3
2025-01-07,Call Me by Your Name,2017,https://boxd.it/dYmm,4.5
2025-01-11,10 Things I Hate About You,1999,https://boxd.it/23AO,5
2025-01-27,Airplane!,1980,https://boxd.it/29yu,4
2025-01-27,Casino Royale,2006,https://boxd.it/1alk,4.5
2025-03-12,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,4
2025-03-12,Blade Runner 2049,2017,https://boxd.it/b8wK,5
2025-05-14,The Royal Tenenbaums,2001,https://boxd.it/1YHU,4
2025-06-05,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,3.5
2025-06-09,Sinners,2025,https://boxd.it/KQMM,4
2025-06-11,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2025-06-14,Hot Tub Time Machine,2010,https://boxd.it/1zIS,2
2025-06-23,The Prestige,2006,https://boxd.it/293w,2.5
2025-06-23,Midnight in Paris,2011,https://boxd.it/i4a,4.5
2025-06-23,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4.5
2025-06-23,Mickey 17,2025,https://boxd.it/q1Dk,4.5
2025-07-12,Nightcrawler,2014,https://boxd.it/780m,3
2025-07-12,Copycat,1995,https://boxd.it/28ga,3
2025-07-24,Juror #2,2024,https://boxd.it/FRwU,2.5
2025-07-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,2.5
2025-07-26,Chungking Express,1994,https://boxd.it/1UDa,5
2025-07-30,12 Angry Men,1957,https://boxd.it/2auI,4.5
2025-08-01,Total Recall,1990,https://boxd.it/29qK,2.5
2025-08-02,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,1
2025-08-16,But I'm a Cheerleader,1999,https://boxd.it/1CW4,4.5
2025-08-21,Weapons,2025,https://boxd.it/EMTM,4
2025-10-20,Soleil O,1970,https://boxd.it/5TR4,4
2025-11-11,2 or 3 Things I Know About Her,1967,https://boxd.it/20Am,3.5
2025-11-29,Superman,2025,https://boxd.it/E9IU,4
2025-12-02,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,4
2025-12-02,La Haine,1995,https://boxd.it/2as8,5
2025-12-04,The Wolf of Wall Street,2013,https://boxd.it/3C1m,3.5
2025-12-15,Wake Up Dead Man,2025,https://boxd.it/uAKS,5
2025-12-20,Molly's Game,2017,https://boxd.it/dSl8,2.5
2025-12-23,Bridesmaids,2011,https://boxd.it/rac,3
2025-12-23,Now You See Me,2013,https://boxd.it/2Bsu,2.5
2025-12-24,Don't Worry Darling,2022,https://boxd.it/mViu,1
2025-12-24,Perfect Blue,1997,https://boxd.it/1W7A,5
2025-12-25,Primal Fear,1996,https://boxd.it/28ws,3
2025-12-28,One Battle After Another,2025,https://boxd.it/DUHM,4.5
2025-12-30,Five Nights at Freddy's 2,2025,https://boxd.it/KEvY,1
2025-12-30,This Is Spinal Tap,1984,https://boxd.it/1UOs,4
2025-12-31,The Naked Gun,2025,https://boxd.it/Da9k,4
2025-12-31,Interstellar,2014,https://boxd.it/4VZ8,4
2026-01-01,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,3.5
2026-01-02,Fallen Angels,1995,https://boxd.it/1UkW,5
2026-01-02,When Harry Met Sally...,1989,https://boxd.it/29W2,4.5
2026-01-06,House,1977,https://boxd.it/1vsm,4
2026-01-08,Good Time,2017,https://boxd.it/fcFu,4
2026-01-09,The Usual Suspects,1995,https://boxd.it/29XE,3.5
2026-01-09,Barbarian,2022,https://boxd.it/yohi,4.5
2026-01-09,Persona,1966,https://boxd.it/29B4,5
2026-01-11,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
2026-01-19,Heretic,2024,https://boxd.it/H1lY,2.5
2026-01-26,Bugonia,2025,https://boxd.it/qeWY,4
2026-01-27,Train Dreams,2025,https://boxd.it/LdDo,4
2026-02-13,Zodiac,2007,https://boxd.it/27MO,2.5
2026-02-28,Zoolander,2001,https://boxd.it/1YMA,4
2026-03-08,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2026-04-21,Sorry to Bother You,2018,https://boxd.it/f21E,4
2026-04-22,Your Name.,2016,https://boxd.it/cUqs,4.5
2026-04-26,The Menu,2022,https://boxd.it/lScm,3.5
2026-05-02,Midsommar,2019,https://boxd.it/jhxe,3
2026-05-02,Longlegs,2024,https://boxd.it/KzLM,3
2026-05-03,The Descent,2005,https://boxd.it/1YNy,3
2026-05-03,The Thing,1982,https://boxd.it/294O,4.5
2026-06-03,Blue Velvet,1986,https://boxd.it/29BI,4.5
2026-06-15,Obsession,2025,https://boxd.it/PNqo,4.5
2026-07-14,Project Hail Mary,2026,https://boxd.it/pEeQ,3.5
2026-07-21,Anatomy of a Fall,2023,https://boxd.it/yuDE,5
2026-07-26,The Odyssey,2026,https://boxd.it/QFQU,4
2026-07-29,Batman Begins,2005,https://boxd.it/2aIg,2.5
2026-07-29,Moonrise Kingdom,2012,https://boxd.it/2Wng,3.5
2026-07-29,Glengarry Glen Ross,1992,https://boxd.it/1Yw8,4
2026-08-01,Ronin,1998,https://boxd.it/20wa,3.5
